Timestamp,Pixel_Count,Max_Brightness,Image_Filename,Width,Height,Particle_Type,Probability
2026-09-22 04:04:38.000000,6,222,tracks_1790029178.png,60,60,tracks,89.0%
2026-09-22 07:45:45.743443,4,247,tracks_1790042445.png,2,3,tracks,89.1%
2026-09-21 05:34:28.000000,4,217,tracks_1789948168.png,60,60,tracks,69.6%
2026-09-21 12:55:47.000000,38,222,tracks_1789974647.png,60,60,tracks,100.0%
2026-09-21 02:36:45.000000,25,222,tracks_1789937505.png,60,60,tracks,82.1%
2026-09-21 07:39:48.000000,0,138,tracks_1789955688.png,60,60,tracks,78.8%
2026-09-21 12:55:46.000000,46,222,tracks_1789974646.png,60,60,tracks,100.0%
2026-09-21 09:34:23.000000,4,222,tracks_1789962563.png,60,60,tracks,85.4%
2026-09-21 02:07:00.000000,0,140,tracks_1789935720.png,60,60,tracks,69.6%
2026-09-21 10:09:35.000000,1,222,tracks_1789964675.png,60,60,tracks,79.3%
2026-09-20 07:25:12.706731,10,255,tracks_1789868412.png,5,5,tracks,87.4%
2026-09-19 20:04:35.091258,5,255,tracks_1789827575.png,3,4,tracks,94.2%
